State,PERMVIT,COUNTY,CITY,DAY,MONTH,DAY_WEEK,HOUR,MINUTE,LGT_COND,WEATHER,DRUNK_DR,FATALS
4,2,13,370,18,3,4,17,11,1,10,0,1
4,2,19,530,20,3,6,21,29,2,1,1,1
4,4,19,530,22,3,1,11,20,1,1,0,1
4,1,5,170,22,3,1,15,7,1,1,1,1
4,1,19,530,22,3,1,20,16,2,10,1,1
4,5,19,530,26,3,5,21,2,2,1,0,1
4,3,13,490,26,3,5,23,22,3,1,1,1
4,4,13,420,28,3,7,13,15,1,1,0,2
4,1,13,370,29,3,1,2,48,6,1,1,1
4,2,21,22,29,3,1,18,1,1,1,0,1
4,1,19,530,30,3,2,11,53,1,1,0,1
4,1,21,110,30,3,2,16,55,1,1,1,1
4,2,13,290,20,1,3,14,12,1,1,0,1
4,1,13,290,25,1,1,18,44,3,1,0,1
4,2,19,530,3,3,3,12,7,1,1,0,1
4,1,13,490,27,3,6,1,52,3,10,1,1
4,2,19,530,31,3,3,16,12,1,1,0,1
4,3,13,200,9,3,2,8,32,1,1,0,1
4,2,25,386,26,3,5,22,7,2,1,1,1
4,1,13,370,14,3,7,20,18,6,98,0,1
4,1,13,490,20,3,6,19,27,5,10,0,1
4,2,13,370,14,3,7,17,50,1,1,0,1
4,2,13,370,20,3,6,17,53,1,1,1,1
4,3,13,370,4,3,4,18,18,5,1,1,1
4,1,13,370,6,3,6,13,26,1,99,0,1
4,3,13,370,6,3,6,22,46,6,99,2,1
4,1,13,200,11,3,4,12,27,1,1,1,1
4,3,13,370,15,3,1,22,16,3,1,1,3
4,1,13,370,16,3,2,13,20,1,1,0,1
4,2,13,200,19,3,5,1,49,3,2,2,1
4,3,13,370,19,3,5,11,9,1,99,0,1
4,1,13,370,31,3,3,13,41,1,1,0,1
4,1,12,387,14,3,7,17,30,1,1,0,1
4,2,13,370,1,4,4,19,20,3,1,0,1
4,1,13,60,2,4,5,10,15,1,1,0,1
4,1,21,70,3,4,6,5,57,2,1,0,1
4,1,21,70,4,4,7,1,51,2,1,1,1
4,2,19,530,5,4,1,12,45,1,1,0,1
4,3,13,190,5,4,1,14,52,1,1,0,1
4,2,15,268,5,4,1,18,17,1,1,1,1
4,1,23,330,7,4,3,12,32,1,1,0,1
4,3,13,30,7,4,3,19,37,3,1,0,1
4,2,13,490,9,4,5,16,50,1,1,0,1
4,2,21,22,10,4,6,13,14,1,1,0,1
4,1,13,290,11,4,7,9,54,1,1,0,1
